"sitecode","aoi","loss_pct","period"
"BBS","CSA",3.04922678891699,"2004-2008"
"BBS","PA",6.46430998294795,"2004-2008"
"BBS","ZOI",6.74284624961116,"2004-2008"
"BBS","ZOIminusPA",9.869991863232,"2004-2008"
"BCI","CSA",0.476936659895849,"2005-2009"
"BCI","PA",0.187614004435857,"2005-2009"
"BCI","ZOI",3.50612099931719,"2005-2009"
"BCI","ZOIminusPA",3.65446200564601,"2005-2009"
"BIF","CSA",0.407584204841151,"2004-2008"
"BIF","PA",0.536790755870357,"2004-2008"
"BIF","ZOI",7.44667820436345,"2004-2008"
"BIF","ZOIminusPA",11.0911918456506,"2004-2008"
"CAX","CSA",0.160834403368766,"2005-2009"
"CAX","PA",0.101395453886943,"2005-2009"
"CAX","ZOI",0.554083544289146,"2005-2009"
"CAX","ZOIminusPA",0.616499812764646,"2005-2009"
"COU","CSA",0.269091810082722,"2006-2010"
"COU","PA",0.417521801439076,"2006-2010"
"COU","ZOI",0.275067312744968,"2006-2010"
"COU","ZOIminusPA",0.547797558947106,"2006-2010"
"CSN","CSA",0.0811319919374934,"2003-2007"
"CSN","PA",0.050805866676252,"2003-2007"
"CSN","ZOI",0.0479609530786636,"2003-2007"
"CSN","ZOIminusPA",0.022834164151262,"2003-2007"
"KRP","CSA",0.135146380950876,"2006-2010"
"KRP","PA",0.0536818509146648,"2006-2010"
"KRP","ZOI",0.092321897340283,"2006-2010"
"KRP","ZOIminusPA",0.112744415481243,"2006-2010"
"MAS","CSA",0.0946748394426312,"2005-2009"
"MAS","PA",2.07979911117673,"2005-2009"
"MAS","ZOI",2.57244943110434,"2005-2009"
"MAS","ZOIminusPA",2.92008464823707,"2005-2009"
"NAK","CSA",0.296397888529937,"2004-2008"
"NAK","PA",1.77678159559364,"2004-2008"
"NAK","ZOI",8.94685909554766,"2004-2008"
"NAK","ZOIminusPA",10.586504611666,"2004-2008"
"NNN","CSA",0.00997004248902098,"2004-2008"
"NNN","PA",0.0128600209738067,"2004-2008"
"NNN","ZOI",0.0114410268550313,"2004-2008"
"NNN","ZOIminusPA",0.0113015189265128,"2004-2008"
"PSH","CSA",16.3223420270465,"2006-2010"
"PSH","PA",7.09522677637938,"2006-2010"
"PSH","ZOI",41.3938772633599,"2006-2010"
"PSH","ZOIminusPA",43.9986616260434,"2006-2010"
"RNF","CSA",0.425159592932667,"2005-2009"
"RNF","PA",1.0246020158122,"2005-2009"
"RNF","ZOI",12.0057390464908,"2005-2009"
"RNF","ZOIminusPA",20.1718717424833,"2005-2009"
"UDZ","CSA",0.903059454473662,"2004-2008"
"UDZ","PA",1.12453319516958,"2004-2008"
"UDZ","ZOI",7.53082076693918,"2004-2008"
"UDZ","ZOIminusPA",10.321355405641,"2004-2008"
"VB","CSA",0.18953795421198,"2002-2006"
"VB","PA",0.0416284129117412,"2002-2006"
"VB","ZOI",4.11893394074084,"2002-2006"
"VB","ZOIminusPA",4.50073110987703,"2002-2006"
"YAN","CSA",0.0178676421215743,"2006-2010"
"YAN","PA",1.33500444716287,"2006-2010"
"YAN","ZOI",3.94611904571656,"2006-2010"
"YAN","ZOIminusPA",6.95036255840422,"2006-2010"
"YAS","CSA",0.158105689086706,"2006-2010"
"YAS","PA",0.119788084693796,"2006-2010"
"YAS","ZOI",2.49904561003126,"2006-2010"
"YAS","ZOIminusPA",3.46342469905341,"2006-2010"
