sitecode,aoi,loss_pct,period
BBS,CSA,3.049226789,2004-2008
BBS,PA,6.464309983,2004-2008
BBS,ZOI,6.74284625,2004-2008
BBS,ZOIminusPA,9.869991863,2004-2008
BCI,CSA,0.47693666,2005-2009
BCI,PA,0.383196118,2005-2009
BCI,ZOI,3.506120999,2005-2009
BCI,ZOIminusPA,3.805733684,2005-2009
BIF,CSA,0.407584205,2004-2008
BIF,PA,0.536790756,2004-2008
BIF,ZOI,7.446678204,2004-2008
BIF,ZOIminusPA,11.09119185,2004-2008
CAX,CSA,0.160834596,2005-2009
CAX,PA,0.209269014,2005-2009
CAX,ZOI,0.554083543,2005-2009
CAX,ZOIminusPA,1.43036172,2005-2009
COU,CSA,0.26909181,2006-2010
COU,PA,0.417521801,2006-2010
COU,ZOI,0.275067313,2006-2010
COU,ZOIminusPA,0.547797559,2006-2010
CSN,CSA,0.081131992,2003-2007
CSN,PA,0.050805867,2003-2007
CSN,ZOI,0.047960953,2003-2007
CSN,ZOIminusPA,0.022834164,2003-2007
KRP,CSA,0.135146381,2006-2010
KRP,PA,0.053681851,2006-2010
KRP,ZOI,0.092321897,2006-2010
KRP,ZOIminusPA,0.112744415,2006-2010
MAS,CSA,0.094674839,2005-2009
MAS,PA,2.079799111,2005-2009
MAS,ZOI,2.572449431,2005-2009
MAS,ZOIminusPA,2.920084648,2005-2009
NAK,CSA,0.296397889,2004-2008
NAK,PA,1.776781596,2004-2008
NAK,ZOI,8.946859096,2004-2008
NAK,ZOIminusPA,10.58650461,2004-2008
NNN,CSA,0.009970042,2004-2008
NNN,PA,0.012860021,2004-2008
NNN,ZOI,0.011441027,2004-2008
NNN,ZOIminusPA,0.011301519,2004-2008
PSH,CSA,16.32234203,2006-2010
PSH,PA,7.095226776,2006-2010
PSH,ZOI,41.39387726,2006-2010
PSH,ZOIminusPA,43.99866163,2006-2010
RNF,CSA,0.425159593,2005-2009
RNF,PA,1.024602016,2005-2009
RNF,ZOI,12.00573905,2005-2009
RNF,ZOIminusPA,20.17187174,2005-2009
UDZ,CSA,0.903059454,2004-2008
UDZ,PA,1.124533195,2004-2008
UDZ,ZOI,7.530820767,2004-2008
UDZ,ZOIminusPA,10.32135541,2004-2008
VB,CSA,0.189537954,2002-2006
VB,PA,0.041628413,2002-2006
VB,ZOI,4.118933941,2002-2006
VB,ZOIminusPA,4.50073111,2002-2006
YAN,CSA,0.017867642,2006-2010
YAN,PA,1.335004447,2006-2010
YAN,ZOI,3.946119046,2006-2010
YAN,ZOIminusPA,6.950362558,2006-2010
YAS,CSA,0.158105689,2006-2010
YAS,PA,0.119788085,2006-2010
YAS,ZOI,2.49904561,2006-2010
YAS,ZOIminusPA,3.463424699,2006-2010
