site.sp,sp,site,median.coeff,ind95,ind80,cont,rls,mass,class,guild,sitesp,nyears,Category,T75_Loss_SampleArea_Ha,T75_Loss_SampleArea_Pct,T75_Loss_SampleArea_Ha_Round,T75_Loss_SampleArea_Pct_Round,T75_Loss_ZOI_Ha,T75_Loss_ZOI_Pct,T75_Loss_ZOI_Ha_Round,T75_Loss_ZOI_Pct_Round,poaching_level,protection_level,site_type
Agelastes niger-KRP,Agelastes niger,KRP,-0.350236165,stable,stable,AF,LC,1150,AVES,Omnivore,Agelastes niger-KRP,3,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,high,poor,extractive
Agelastes niger-NNN,Agelastes niger,NNN,0.070968267,stable,stable,AF,LC,1150,AVES,Omnivore,Agelastes niger-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Aplopelia larvata-UDZ,Aplopelia larvata,UDZ,0.198828828,increasing,increasing,AF,LC,116,AVES,Herbivore,Aplopelia larvata-UDZ,5,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,low,good,extractive
Aramides cajaneus-BCI,Aramides cajaneus,BCI,-0.66917643,stable,decreasing,LA,LC,397,AVES,Omnivore,Aramides cajaneus-BCI,4,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,low,fair,extractive
Aramides cajaneus-COU,Aramides cajaneus,COU,0.603458619,increasing,increasing,LA,LC,397,AVES,Omnivore,Aramides cajaneus-COU,3,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,low,good,remote
Aramides cajaneus-CSN,Aramides cajaneus,CSN,-0.240450903,stable,stable,LA,LC,397,AVES,Omnivore,Aramides cajaneus-CSN,6,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,high,poor,remote
Arborophila chloropus-NAK,Arborophila chloropus,NAK,0.423216072,stable,stable,AS,LC,270,AVES,Omnivore,Arborophila chloropus-NAK,4,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,high,fair,settled
Arctictis binturong-BBS,Arctictis binturong,BBS,-0.13571061,stable,stable,AS,VU,13000,MAMMALIA,Carnivore,Arctictis binturong-BBS,4,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,low,fair,settled
Arctictis binturong-NAK,Arctictis binturong,NAK,0.332686958,stable,increasing,AS,VU,13000,MAMMALIA,Carnivore,Arctictis binturong-NAK,4,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,high,fair,settled
Arctictis binturong-PSH,Arctictis binturong,PSH,-0.392891191,stable,stable,AS,VU,13000,MAMMALIA,Carnivore,Arctictis binturong-PSH,3,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,high,poor,settled
Arctonyx collaris-NAK,Arctonyx collaris,NAK,0.139244179,stable,stable,AS,NT,6356,MAMMALIA,Carnivore,Arctonyx collaris-NAK,4,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,high,fair,settled
Argusianus argus-BBS,Argusianus argus,BBS,0.08707543,stable,stable,AS,NT,2380,AVES,Omnivore,Argusianus argus-BBS,4,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,low,fair,settled
Argusianus argus-PSH,Argusianus argus,PSH,0.124645337,stable,stable,AS,NT,2380,AVES,Omnivore,Argusianus argus-PSH,3,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,high,poor,settled
Atelocynus microtis-CAX,Atelocynus microtis,CAX,-0.392891191,stable,stable,LA,NT,7750,MAMMALIA,Carnivore,Atelocynus microtis-CAX,3,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,low,good,remote
Atelocynus microtis-COU,Atelocynus microtis,COU,-0.867987174,decreasing,decreasing,LA,NT,7750,MAMMALIA,Carnivore,Atelocynus microtis-COU,3,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,low,good,remote
Atelocynus microtis-YAS,Atelocynus microtis,YAS,0.121929061,stable,stable,LA,NT,7750,MAMMALIA,Carnivore,Atelocynus microtis-YAS,4,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,high,poor,remote
Atherurus africanus-BIF,Atherurus africanus,BIF,-0.66917643,decreasing,decreasing,AF,LC,1934,MAMMALIA,Omnivore,Atherurus africanus-BIF,4,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,low,fair,settled
Atherurus africanus-KRP,Atherurus africanus,KRP,-0.217886548,stable,decreasing,AF,LC,1934,MAMMALIA,Omnivore,Atherurus africanus-KRP,3,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,high,poor,extractive
