Site,Species,Hunted,site.sp
BBS,Arctictis binturong,No,Arctictis binturong-BBS
BBS,Argusianus argus,No,Argusianus argus-BBS
BBS,Chalcophaps indica,No,Chalcophaps indica-BBS
BBS,Cuon alpinus,No,Cuon alpinus-BBS
BBS,Cynogale bennettii,No,Cynogale bennettii-BBS
BBS,Echinosorex gymnura,No,Echinosorex gymnura-BBS
BBS,Elephas maximus,Yes,Elephas maximus-BBS
BBS,Gallus gallus,No,Gallus gallus-BBS
BBS,Helarctos malayanus,No,Helarctos malayanus-BBS
BBS,Hemigalus derbyanus,No,Hemigalus derbyanus-BBS
BBS,Herpestes brachyurus,No,Herpestes brachyurus-BBS
BBS,Hystrix brachyura,Yes,Hystrix brachyura-BBS
BBS,Lariscus insignis,No,Lariscus insignis-BBS
BBS,Lutra lutra,No,Lutra lutra-BBS
BBS,Macaca fascicularis,No,Macaca fascicularis-BBS
BBS,Macaca nemestrina,No,Macaca nemestrina-BBS
BBS,Manis javanica,Yes,Manis javanica-BBS
BBS,Muntiacus muntjak,Yes,Muntiacus muntjak-BBS
BBS,Neofelis nebulosa,Unknown,Neofelis nebulosa-BBS
BBS,Paguma larvata,No,Paguma larvata-BBS
BBS,Panthera tigris,Yes,Panthera tigris-BBS
BBS,Pardofelis marmorata,Unknown,Pardofelis marmorata-BBS
BBS,Pardofelis temminckii,Unknown,Pardofelis temminckii-BBS
BBS,Prionailurus bengalensis,Unknown,Prionailurus bengalensis-BBS
BBS,Prionodon linsang,No,Prionodon linsang-BBS
BBS,Rollulus rouloul,No,Rollulus rouloul-BBS
BBS,Rusa unicolor,Yes,Rusa unicolor-BBS
BBS,Sus scrofa,Yes,Sus scrofa-BBS
BBS,Tapirus indicus,Yes,Tapirus indicus-BBS
BBS,Tragulus javanicus,Yes,Tragulus javanicus-BBS
BBS,Tragulus napu,Yes,Tragulus napu-BBS
BBS,Trichys fasciculata,No,Trichys fasciculata-BBS
BBS,Tupaia tana,No,Tupaia tana-BBS
BCI,Aramides cajaneus,No,Aramides cajaneus-BCI
BCI,Cabassous centralis,No,Cabassous centralis-BCI
BCI,Canis latrans,No,Canis latrans-BCI
BCI,Crax rubra,Yes,Crax rubra-BCI
BCI,Cuniculus paca,Yes,Cuniculus paca-BCI
BCI,Dasyprocta punctata,Yes,Dasyprocta punctata-BCI
BCI,Dasypus novemcinctus,No,Dasypus novemcinctus-BCI
BCI,Didelphis marsupialis,No,Didelphis marsupialis-BCI
BCI,Eira barbara,No,Eira barbara-BCI
BCI,Galictis vittata,No,Galictis vittata-BCI
BCI,Geotrygon montana,No,Geotrygon montana-BCI
BCI,Hoplomys gymnurus,No,Hoplomys gymnurus-BCI
BCI,Hydrochoerus isthmius,Yes,Hydrochoerus isthmius-BCI
BCI,Leopardus pardalis,Yes,Leopardus pardalis-BCI
BCI,Leopardus wiedii,No,Leopardus wiedii-BCI
BCI,Leptotila cassini,No,Leptotila cassini-BCI
BCI,Leptotila verreauxi,No,Leptotila verreauxi-BCI
BCI,Mazama temama,Yes,Mazama temama-BCI
BCI,Metachirus nudicaudatus,No,Metachirus nudicaudatus-BCI
BCI,Nasua narica,Yes,Nasua narica-BCI
BCI,Nasua nasua,No,Nasua nasua-BCI
BCI,Neomorphus geoffroyi,No,Neomorphus geoffroyi-BCI
BCI,Odocoileus virginianus,Yes,Odocoileus virginianus-BCI
BCI,Odontophorus gujanensis,No,Odontophorus gujanensis-BCI
BCI,Pecari tajacu,Yes,Pecari tajacu-BCI
BCI,Penelope purpurascens,Yes,Penelope purpurascens-BCI
BCI,Philander opossum,No,Philander opossum-BCI
BCI,Procyon cancrivorus,No,Procyon cancrivorus-BCI
BCI,Proechimys semispinosus,No,Proechimys semispinosus-BCI
BCI,Puma yagouaroundi,No,Puma yagouaroundi-BCI
BCI,Sciurus granatensis,Yes,Sciurus granatensis-BCI
BCI,Sylvilagus brasiliensis,No,Sylvilagus brasiliensis-BCI
BCI,Tamandua mexicana,No,Tamandua mexicana-BCI
BCI,Tapirus bairdii,No,Tapirus bairdii-BCI
BCI,Tinamus major,Yes,Tinamus major-BCI
BIF,Atherurus africanus,No,Atherurus africanus-BIF
BIF,Atilax paludinosus,No,Atilax paludinosus-BIF
BIF,Canis adustus,No,Canis adustus-BIF
BIF,Caracal aurata,No,Caracal aurata-BIF
BIF,Cephalophus nigrifrons,Yes,Cephalophus nigrifrons-BIF
BIF,Cephalophus silvicultor,No,Cephalophus silvicultor-BIF
BIF,Cephalophus weynsi,Yes,Cephalophus weynsi-BIF
BIF,Cercopithecus lhoesti,No,Cercopithecus lhoesti-BIF
BIF,Cercopithecus mitis,No,Cercopithecus mitis-BIF
BIF,Civettictis civetta,No,Civettictis civetta-BIF
BIF,Cricetomys emini,No,Cricetomys emini-BIF
BIF,Cricetomys gambianus,No,Cricetomys gambianus-BIF
BIF,Francolinus nobilis,Yes,Francolinus nobilis-BIF
BIF,Genetta servalina,No,Genetta servalina-BIF
BIF,Gorilla beringei,No,Gorilla beringei-BIF
BIF,Guttera pucherani,Yes,Guttera pucherani-BIF
BIF,Leptailurus serval,No,Leptailurus serval-BIF
BIF,Loxodonta africana,No,Loxodonta africana-BIF
BIF,Mellivora capensis,No,Mellivora capensis-BIF
BIF,Nandinia binotata,No,Nandinia binotata-BIF
BIF,Pan troglodytes,No,Pan troglodytes-BIF
BIF,Papio anubis,No,Papio anubis-BIF
BIF,Phataginus tricuspis,No,Phataginus tricuspis-BIF
BIF,Potamochoerus larvatus,Yes,Potamochoerus larvatus-BIF
BIF,Thryonomys gregorianus,No,Thryonomys gregorianus-BIF
BIF,Thryonomys swinderianus,No,Thryonomys swinderianus-BIF
BIF,Tragelaphus scriptus,No,Tragelaphus scriptus-BIF
BIF,Tragelaphus spekii,No,Tragelaphus spekii-BIF
CAX,Atelocynus microtis,No,Atelocynus microtis-CAX
CAX,Cabassous unicinctus,Yes,Cabassous unicinctus-CAX
