Site,poaching_level,protection_level,site_type,Nyears,Decrease.Per,Increase.Per,Stable.Per,Nspecies,Ndecreasing,Nincreasing,Nstable
BBS,low,medium,settled,4,15.15,18.18,66.67,33,5,6,22
BCI,low,medium,extractive,4,22.86,8.57,68.57,35,8,3,24
BIF,low,medium,settled,4,21.43,21.43,57.14,28,6,6,16
CAX,low,high,remote,3,14.71,23.53,61.76,34,5,8,21
COU,low,high,remote,3,12.50,39.58,47.92,48,6,19,23
CSN,high,low,remote,6,24.44,22.22,53.33,45,11,10,24
KRP,high,low,extractive,3,24.14,10.34,65.52,29,7,3,19
MAS,low,low,extractive,2,20.69,20.69,58.62,29,6,6,17
NAK,high,medium,settled,4,7.14,14.29,78.57,28,2,4,22
NNN,low,medium,remote,5,27.50,27.50,45.00,40,11,11,18
PSH,high,low,settled,3,5.00,30.00,65.00,40,2,12,26
RNF,low,medium,settled,4,44.44,22.22,33.33,18,8,4,6
UDZ,low,high,extractive,5,16.13,19.35,64.52,31,5,6,20
VB,low,medium,settled,7,32.14,3.57,64.29,28,9,1,18
YAN,low,high,remote,2,10.71,25.00,64.29,28,3,7,18
YAS,high,low,remote,4,15.91,25.00,59.09,44,7,11,26
