sitecode,Hunting,Protection,site_type,Nyears,Decrease.Per,Increase.Per,Stable.Per,Nspecies,Ndecreasing,Nincreasing,Nstable
BBS,Often,Low,Settled,4,15.15,18.18,66.67,33,5,6,22
BCI,Often,Very low,Extractive,4,22.86,8.57,68.57,35,8,3,24
BIF,Rarely,Low,Settled,4,21.43,21.43,57.14,28,6,6,16
CAX,Often,Moderate,Remote,3,14.71,23.53,61.76,34,5,8,21
COU,Never,High,Remote,3,12.5,39.58,47.92,48,6,19,23
CSN,Rarely,Very low,Remote,6,24.44,22.22,53.33,45,11,10,24
KRP,Often,Low,Extractive,3,24.14,10.34,65.52,29,7,3,19
MAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NAK,Rarely,Low,Settled,4,7.14,14.29,78.57,28,2,4,22
NNN,Never,High,Remote,5,27.5,27.5,45,40,11,11,18
PSH,Often,Very low,Settled,3,5,30,65,40,2,12,26
RNF,Rarely,Moderate,Settled,4,44.44,22.22,33.33,18,8,4,6
UDZ,Often,Moderate,Extractive,5,16.13,19.35,64.52,31,5,6,20
VB,Often,Very low,Settled,7,32.14,3.57,64.29,28,9,1,18
YAN,Never,High,Remote,2,10.71,25,64.29,28,3,7,18
YAS,Often,Low,Remote,4,15.91,25,59.09,44,7,11,26
