sitecode,site_type,Nyears,Decrease.Per,Increase.Per,Stable.Per,Rare.Per,Nspecies,Ndecreasing,Nincreasing,Nstable,Nrare
BBS,Settled,4,15.15,3.03,9.09,72.73,33,5,1,3,24
BCI,Extractive,4,17.14,5.71,25.71,51.43,35,6,2,9,18
BIF,Settled,4,14.29,7.14,14.29,64.29,28,4,2,4,18
CAX,Remote,3,5.88,11.76,35.29,47.06,34,2,4,12,16
COU,Remote,3,6.25,25.00,25.00,43.75,48,3,12,12,21
CSN,Remote,6,14.63,19.51,24.39,41.46,41,6,8,10,17
KRP,Extractive,3,26.92,7.69,38.46,26.92,26,7,2,10,7
MAS,NA,NA,NA,NA,NA,,NA,NA,NA,NA,
NAK,Settled,4,3.57,3.57,17.86,75.00,28,1,1,5,21
NNN,Remote,5,20.00,15.00,17.50,47.50,40,8,6,7,19
PSH,Settled,3,0.00,20.51,7.69,71.79,39,0,8,3,28
RNF,Settled,4,27.78,16.67,16.67,38.89,18,5,3,3,7
UDZ,Extractive,5,9.68,12.90,29.03,48.39,31,3,4,9,15
VB,Settled,7,18.52,3.70,7.41,70.37,27,5,1,2,19
YAN,Remote,2,3.57,10.71,28.57,57.14,28,1,3,8,16
YAS,Remote,4,9.52,16.67,30.95,42.86,42,4,7,13,18
