sitecode,site_type,Nyears,Decrease.Per,Increase.Per,Rare.Per,Stable.Per,Nspecies,Ndecreasing,Nincreasing,Nrare,Nstable
BBS,Settled,5,12.12,0.00,72.73,15.15,33,4,0,24,5
BCI,Extractive,4,17.65,5.88,47.06,29.41,34,6,2,16,10
BIF,Settled,4,14.29,7.14,64.29,14.29,28,4,2,18,4
CAX,Remote,4,12.12,3.03,42.42,42.42,33,4,1,14,14
COU,Remote,4,6.25,25.00,43.75,25.00,48,3,12,21,12
CSN,Remote,6,13.33,20.00,46.67,20.00,45,6,9,21,9
KRP,Extractive,3,24.14,6.90,34.48,34.48,29,7,2,10,10
MAS,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
NAK,Settled,5,3.57,10.71,75.00,10.71,28,1,3,21,3
NNN,Remote,5,15.00,20.00,45.00,20.00,40,6,8,18,8
PSH,Settled,4,2.63,10.53,76.32,10.53,38,1,4,29,4
RNF,Settled,4,16.67,16.67,55.56,11.11,18,3,3,10,2
UDZ,Extractive,6,9.68,12.90,48.39,29.03,31,3,4,15,9
VB,Settled,7,21.43,7.14,71.43,0.00,28,6,2,20,0
YAN,Remote,4,10.71,7.14,57.14,25.00,28,3,2,16,7
YAS,Remote,4,7.14,19.05,40.48,33.33,42,3,8,17,14
