"","pops","site","bin"
"1","CAX.Dasypus novemcinctus","CAX","Dasypus novemcinctus"
"2","CAX.Cuniculus paca","CAX","Cuniculus paca"
"3","CAX.Mazama nemorivaga","CAX","Mazama nemorivaga"
"4","CAX.Dasyprocta leporina","CAX","Dasyprocta leporina"
"5","CAX.Dasypus kappleri","CAX","Dasypus kappleri"
"6","CAX.Mazama americana","CAX","Mazama americana"
"7","CAX.Psophia viridis","CAX","Psophia viridis"
"8","CSN.Crax alector","CSN","Crax alector"
"9","CSN.Dasypus novemcinctus","CSN","Dasypus novemcinctus"
"10","CSN.Tapirus terrestris","CSN","Tapirus terrestris"
"11","CSN.Myoprocta acouchy","CSN","Myoprocta acouchy"
"12","CSN.Cuniculus paca","CSN","Cuniculus paca"
"13","CSN.Didelphis marsupialis","CSN","Didelphis marsupialis"
"14","CSN.Mazama americana","CSN","Mazama americana"
"15","CSN.Psophia crepitans","CSN","Psophia crepitans"
"16","CSN.Dasyprocta leporina","CSN","Dasyprocta leporina"
"17","MAS.Cuniculus paca","MAS","Cuniculus paca"
"18","MAS.Didelphis marsupialis","MAS","Didelphis marsupialis"
"19","MAS.Mazama americana","MAS","Mazama americana"
"20","MAS.Psophia crepitans","MAS","Psophia crepitans"
"21","MAS.Dasyprocta leporina","MAS","Dasyprocta leporina"
"22","MAS.Metachirus nudicaudatus","MAS","Metachirus nudicaudatus"
"23","MAS.Pecari tajacu","MAS","Pecari tajacu"
"24","MAS.Myoprocta acouchy","MAS","Myoprocta acouchy"
"25","MAS.Dasypus novemcinctus","MAS","Dasypus novemcinctus"
"26","VB.Cuniculus paca","VB.","uniculus paca"
"27","VB.Pecari tajacu","VB.","ecari tajacu"
"28","VB.Dasypus novemcinctus","VB.","asypus novemcinctus"
"29","VB.Tapirus bairdii","VB.","apirus bairdii"
"30","VB.Dasyprocta punctata","VB.","asyprocta punctata"
"31","BIF.Cercopithecus lhoesti","BIF","Cercopithecus lhoesti"
"32","BIF.Cephalophus silvicultor","BIF","Cephalophus silvicultor"
"33","BIF.Cephalophus nigrifrons","BIF","Cephalophus nigrifrons"
"34","BBS.Muntiacus muntjak","BBS","Muntiacus muntjak"
"35","BBS.Hystrix brachyura","BBS","Hystrix brachyura"
"36","BBS.Macaca nemestrina","BBS","Macaca nemestrina"
"37","BBS.Argusianus argus","BBS","Argusianus argus"
"38","BBS.Sus scrofa","BBS","Sus scrofa"
"39","NAK.Muntiacus muntjak","NAK","Muntiacus muntjak"
"40","NAK.Atherurus macrourus","NAK","Atherurus macrourus"
"41","NNN.Protoxerus stangeri","NNN","Protoxerus stangeri"
"42","NNN.Loxodonta africana","NNN","Loxodonta africana"
"43","NNN.Cephalophus dorsalis","NNN","Cephalophus dorsalis"
"44","NNN.Cephalophus silvicultor","NNN","Cephalophus silvicultor"
"45","NNN.Pan troglodytes","NNN","Pan troglodytes"
"46","NNN.Philantomba monticola","NNN","Philantomba monticola"
"47","NNN.Cephalophus callipygus","NNN","Cephalophus callipygus"
"48","NNN.Cricetomys gambianus","NNN","Cricetomys gambianus"
"49","NNN.Potamochoerus porcus","NNN","Potamochoerus porcus"
"50","NNN.Gorilla gorilla","NNN","Gorilla gorilla"
"51","YAS.Myoprocta pratti","YAS","Myoprocta pratti"
"52","YAS.Pecari tajacu","YAS","Pecari tajacu"
"53","YAS.Tapirus terrestris","YAS","Tapirus terrestris"
"54","YAS.Dasyprocta fuliginosa","YAS","Dasyprocta fuliginosa"
"55","YAS.Dasypus novemcinctus","YAS","Dasypus novemcinctus"
"56","YAS.Tayassu pecari","YAS","Tayassu pecari"
"57","YAS.Cuniculus paca","YAS","Cuniculus paca"
"58","YAS.Tinamus major","YAS","Tinamus major"
"59","YAS.Leopardus pardalis","YAS","Leopardus pardalis"
"60","YAS.Mazama nemorivaga","YAS","Mazama nemorivaga"
"61","YAS.Mazama americana","YAS","Mazama americana"
"62","YAS.Sciurus igniventris","YAS","Sciurus igniventris"
"63","YAS.Psophia crepitans","YAS","Psophia crepitans"
"64","RNF.Nesomys rufus","RNF","Nesomys rufus"
"65","RNF.Fossa fossana","RNF","Fossa fossana"
"66","UDZ.Cephalophus harveyi","UDZ","Cephalophus harveyi"
"67","UDZ.Rhynchocyon udzungwensis","UDZ","Rhynchocyon udzungwensis"
"68","UDZ.Cercocebus sanjei","UDZ","Cercocebus sanjei"
"69","UDZ.Cephalophus spadix","UDZ","Cephalophus spadix"
"70","UDZ.Cricetomys gambianus","UDZ","Cricetomys gambianus"
"71","UDZ.Genetta servalina","UDZ","Genetta servalina"
"72","UDZ.Paraxerus vexillarius","UDZ","Paraxerus vexillarius"
"73","UDZ.Bdeogale crassicauda","UDZ","Bdeogale crassicauda"
"74","UDZ.Nesotragus moschatus","UDZ","Nesotragus moschatus"
"75","UDZ.Guttera pucherani","UDZ","Guttera pucherani"
"76","BCI.Dasyprocta punctata","BCI","Dasyprocta punctata"
"77","BCI.Mazama temama","BCI","Mazama temama"
"78","BCI.Cuniculus paca","BCI","Cuniculus paca"
"79","BCI.Tinamus major","BCI","Tinamus major"
"80","BCI.Didelphis marsupialis","BCI","Didelphis marsupialis"
"81","BCI.Nasua narica","BCI","Nasua narica"
"82","BCI.Proechimys semispinosus","BCI","Proechimys semispinosus"
"83","BCI.Pecari tajacu","BCI","Pecari tajacu"
"84","BCI.Dasypus novemcinctus","BCI","Dasypus novemcinctus"
"85","BCI.Odocoileus virginianus","BCI","Odocoileus virginianus"
"86","YAN.Cuniculus paca","YAN","Cuniculus paca"
"87","YAN.Dasyprocta fuliginosa","YAN","Dasyprocta fuliginosa"
"88","YAN.Dasypus novemcinctus","YAN","Dasypus novemcinctus"
"89","YAN.Mitu tuberosum","YAN","Mitu tuberosum"
"90","YAN.Tapirus terrestris","YAN","Tapirus terrestris"
"91","COU.Mitu tuberosum","COU","Mitu tuberosum"
"92","COU.Tapirus terrestris","COU","Tapirus terrestris"
"93","COU.Myoprocta pratti","COU","Myoprocta pratti"
"94","COU.Pecari tajacu","COU","Pecari tajacu"
"95","COU.Psophia leucoptera","COU","Psophia leucoptera"
"96","COU.Leopardus pardalis","COU","Leopardus pardalis"
"97","COU.Didelphis marsupialis","COU","Didelphis marsupialis"
"98","COU.Proechimys brevicauda","COU","Proechimys brevicauda"
"99","COU.Cuniculus paca","COU","Cuniculus paca"
"100","COU.Mazama americana","COU","Mazama americana"
"101","COU.Tinamus major","COU","Tinamus major"
"102","COU.Dasyprocta punctata","COU","Dasyprocta punctata"
"103","KRP.Genetta servalina","KRP","Genetta servalina"
"104","KRP.Philantomba monticola","KRP","Philantomba monticola"
"105","KRP.Turtur brehmeri","KRP","Turtur brehmeri"
"106","KRP.Cricetomys emini","KRP","Cricetomys emini"
"107","KRP.Atherurus africanus","KRP","Atherurus africanus"
"108","KRP.Cephalophus ogilbyi","KRP","Cephalophus ogilbyi"
"109","KRP.Himantornis haematopus","KRP","Himantornis haematopus"
"110","KRP.Funisciurus leucogenys","KRP","Funisciurus leucogenys"
"111","KRP.Agelastes niger","KRP","Agelastes niger"
"112","PSH.Leopoldamys sabanus","PSH","Leopoldamys sabanus"
"113","PSH.Muntiacus muntjak","PSH","Muntiacus muntjak"
"114","PSH.Macaca nemestrina","PSH","Macaca nemestrina"
"115","PSH.Sus scrofa","PSH","Sus scrofa"
"116","PSH.Tragulus kanchil","PSH","Tragulus kanchil"
"117","NA.NA","NA.","A"
